GEOID,total_pop,tot_workers,median_income,avg_commute,pctpoc,pctpov,pct_wo_car,pct_transit_users
06059099212,5629,2577,82383,29,37.99964469710428,11.209806359921833,0.5329543435779002,1.9014357780364766
06059099214,3777,1811,125541,27,34.10113846968493,4.130262112787927,0.21180831347630394,0
06059099215,5913,3059,128384,25.6,42.11060375443937,2.858109250803315,0.6595636732623034,0.1961425302386401
06059099216,4308,2026,127336,26.5,31.49953574744661,9.47075208913649,0.6731662024141133,0
06059099217,2463,1267,163932,27.1,16.28095818107998,4.0600893219650835,0.24360535931790497,1.1049723756906076
06059099220,5521,2979,120387,32.4,17.406266980619453,10.541568556420938,0.7063937692447021,0.43638804968110106
06059099222,5540,2261,79412,28,73.51985559566788,23.59205776173285,2.490974729241877,1.0614772224679345
06059099223,6039,2800,74896,24.4,83.39128994866701,13.859910581222056,3.1462162609703594,1.3571428571428572
06059099224,2739,1342,118125,27.7,61.26323475721066,10.149689667761958,5.403431909456006,0
06059099225,4014,1931,136125,26.7,53.53761833582461,1.9182859990034877,0,1.294665976178146
06059099226,3758,1481,96518,30.1,70.94199042043641,15.433741351782862,1.0377860564129857,0
06059099227,5969,3073,108142,27.7,78.48885910537778,7.672977048081756,1.2732450996816886,2.245362837617963
06059099229,5879,2694,87137,22.7,53.05324034699779,4.23541418608607,2.4323864602823613,0
06059099230,4337,1837,112061,30.5,38.78256859580355,12.24348628083929,0.1383444777495965,0
06059099231,4848,2188,148125,25.2,43.275577557755774,5.548679867986799,0,0
06059099232,6579,3007,136974,24.9,44.322845417236664,5.943152454780361,0.4103967168262654,0
06059099233,3283,1444,122168,24.8,59.76241242765763,8.102345415778252,1.5229972586049345,0.2770083102493075
06059099234,4302,1779,114375,26,53.207810320781036,5.369595536959554,1.7666201766620175,0
06059099235,5265,3063,123837,22.3,36.73314339981006,8.300094966761632,0.9116809116809116,0
06059099237,3209,1403,143846,24.4,33.74883141165472,5.9520099719538795,2.181364911187286,0
06059099238,3962,1632,146111,27.6,38.01110550227158,9.868753154972236,0.17667844522968199,0
06059099239,3451,1520,178750,30,25.15212981744422,9.765285424514634,0,0
06059099240,5034,2688,126250,26,26.777910210568134,8.045292014302742,0.6356773937226857,0
06059099241,4214,2135,89534,25.5,56.40721404841006,8.305647840531561,0.18984337921214997,6.370023419203748
06059099242,3458,1665,119063,29.4,48.958935801041065,4.1064198958935805,0.6072874493927125,1.3213213213213213
06059099243,4228,2331,131094,27.4,28.547776726584672,2.9091769157994323,2.1759697256385997,0.3432003432003432
06059099244,3817,1324,115313,26.2,17.107676185485985,1.1789363374377784,0.6811632171862719,0
06059099245,2570,1280,144500,23.5,34.04669260700389,5.252918287937743,0,0
06059099246,3320,1367,149277,25.7,33.28313253012048,5.542168674698795,1.0843373493975903,0
06059099247,2753,1201,78182,26.2,91.2459135488558,21.685434071921538,1.2350163458045769,1.1656952539550374
06059099248,5094,2449,57989,29.2,92.0102080879466,15.174715351393797,1.7864153906556732,12.290730910575745
06059099249,3359,1729,79091,22.7,96.04048824054779,11.997618338791307,1.9946412622804406,2.891844997108155
06059099250,3327,1696,131014,21.7,53.11091073038774,10.18935978358882,2.554854223023745,1.5330188679245282
06059099251,5280,2752,76497,27.7,48.31439393939394,4.431818181818182,4.886363636363637,0.1816860465116279
06059099305,7746,4540,105056,25.2,29.58946553059644,9.86315517686548,0.4002065582235993,0
06059099306,6248,4121,110952,26.3,23.399487836107554,5.521766965428937,0.7522407170294494,0
06059099307,2406,1370,128594,26.3,11.512884455527846,7.315045719035744,1.2468827930174564,0.43795620437956206
06059099308,5837,2338,250001,31.3,29.073154017474728,3.11804008908686,0,0.3421727972626176
06059099309,4713,2553,117750,31.7,26.670910248249523,6.4502440059410135,4.625503925312964,0
06059099310,4140,2503,135625,32.5,30.65217391304348,5.289855072463768,1.038647342995169,0
06059099311,3595,2130,120298,32,24.617524339360223,2.086230876216968,1.8358831710709316,0.7981220657276996
06059099402,7679,3621,74291,27.3,83.51347831748926,14.988930850371144,0.833441854408126,1.1046672190002762
