GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
370010203013,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1925,1628.0,1.2548,Forest,Google,0.5,0.364,0.136,0.633525755942832,0.447788697788698,0.447788697788698,0.520080321285141,0.588231402917674,0.193771626297578,0.431298135952673,0.6071076011846,0.377764127764128,0.3035538005923,0.157666214382632,1.0,0.70374286261465,6.21,0.675029868578256,77,84.0,,0.141277641277641,0.236486486486486,Yes,35.0,47,,,,,,,,,
370010203021,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1560,1384.0,1.6342,Forest,Google,0.5,0.4976,0.0024,0.546846718759109,0.771676300578035,0.771676300578035,0.409551374819103,0.463218795091884,0.0,0.0,0.804432855280313,0.445809248554913,0.402216427640156,0.11063829787234,0.701724832460542,0.70374286261465,0.13,0.43289526085225,99,84.0,,0.177023121387283,0.26878612716763,Yes,3.0,47,,,,,,,,,
370010203022,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,2414,2227.0,4.7172,Forest,Google,0.5,0.4835,0.0165,0.616139959044064,0.788953749438707,0.788953749438707,0.7413560844185,0.838503038379636,0.045990566037736,0.102366098600122,0.855833333333333,0.461158509205209,0.427916666666667,0.11063829787234,0.701724832460542,0.70374286261465,0.59,0.451214655515731,97,84.0,,0.399191737763808,0.061966771441401,Yes,6.0,47,,,,,,,,,
370010204001,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1931,2240.0,2.7054,Forest,Google,0.5,0.4394,0.0606,0.539173732043149,0.602232142857143,0.602232142857143,0.384375,0.434743319912152,0.088803088803089,0.197658487981069,0.514536849222448,0.339732142857143,0.257268424611224,0.110029549800104,0.69786383995419,0.762070896115004,0.91,0.463958582238152,91,84.0,,0.23125,0.108482142857143,Yes,16.0,47,,,,,,,,,
370010204002,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1494,2314.0,2.366,Forest,Google,0.5,0.453,0.047,0.555537309562548,0.796024200518583,0.796024200518583,0.473160173160173,0.535162860565496,0.0,0.0,0.670758122743682,0.401469317199654,0.335379061371841,0.110029549800104,0.69786383995419,0.762070896115004,-0.28,0.416567104739148,93,84.0,,0.398012100259291,0.003457216940363,Yes,13.0,47,,,,,,,,,
370010204003,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,702,241.0,0.6416,Forest,Google,0.5,0.3394,0.1606,0.586630804387914,0.867219917012448,0.867219917012448,0.431535269709544,0.488083449268847,0.0,0.0,0.639455782312925,0.390041493775934,0.319727891156463,0.110029549800104,0.69786383995419,0.762070896115004,5.58,0.649940262843489,75,84.0,,0.0,0.390041493775934,Yes,37.0,47,,,,,,,,,
370010204004,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,882,433.0,0.6817,Forest,Google,0.5,0.3367,0.1633,0.620835912202741,0.877598152424942,0.877598152424942,0.355658198614319,0.402263482327322,0.063694267515923,0.141771111567701,0.94170403587444,0.484988452655889,0.47085201793722,0.110029549800104,0.69786383995419,0.762070896115004,6.8,0.69852648347272,73,84.0,,0.124711316397229,0.36027713625866,Yes,39.0,47,,,,,,,,,
370010204005,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1084,945.0,0.9519,Forest,Google,0.5,0.4,0.1,0.808163535007598,1.0,1.0,0.875132275132275,0.989809198447558,0.449275362318841,1.0,0.964656964656965,0.491005291005291,0.482328482328482,0.110029549800104,0.69786383995419,0.762070896115004,3.72,0.575866188769415,78,84.0,,0.288888888888889,0.202116402116402,Yes,33.0,47,,,,,,,,,
370010205011,Glen Raven,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,2606,2636.0,4.4057,Forest,Google,0.5,0.5196,0.0,0.386058726255296,0.300834597875569,0.300834597875569,0.456373292867982,0.516176235344826,0.041907514450867,0.093278016035801,0.481731309724564,0.325113808801214,0.240865654862282,0.048471495455797,0.307431085636167,0.381210078810043,-1.07,0.38510553564317,100,100.0,,0.235584218512898,0.089529590288316,Yes,1.0,2,,,,,,,,,
370010205012,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1298,1224.0,2.1505,Forest,Google,0.5,0.4772,0.0228,0.379186568514083,0.245915032679738,0.245915032679738,0.225490196078431,0.255038325725605,0.049152542372881,0.109404045926736,0.802650957290133,0.445261437908497,0.401325478645066,0.048471495455797,0.307431085636167,0.381210078810043,1.09,0.471127041019514,97,84.0,,0.236928104575163,0.208333333333333,,6.0,47,,,,,,,,,
